EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6a_nivel_86448000,inp05_input_6b_nivel_D-14H_86448000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_16_nivel_A-1h_86472600,inp10_input_17_nivel_A-2h_86472600,inp11_input_18_nivel_A-4h_86472600,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,RNA_CM,ERRO_CM,ERRO_ABS_CM,E2_RNA,E2_PERS,PERS_BASE_NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA
3,3,Treino,2023,7,12,7,0,202307120700,2023-07-12 07:00,405,0,17.38141025641026,14849,-9,491,-1,3,1,2,2,449,405,394.9897316632,-54.01026833679998,54.01026833679998,2917.109085813139,1936,405,449
3,3,Treino,2023,7,12,8,0,202307120800,2023-07-12 08:00,405,0,20.40064102564103,14851,-6,491,-1,1,0,1,1,464,405,395.1400160180981,-68.8599839819019,68.8599839819019,4741.697393987787,3481,405,464
3,3,Treino,2023,7,12,9,0,202307120900,2023-07-12 09:00,405,0,26.71794871794872,14854,-1,492,1,4,0,0,2,484,405,400.4452685842137,-83.55473141578625,83.55473141578625,6981.393141964178,6241,405,484
3,3,Treino,2023,7,12,13,0,202307121300,2023-07-12 13:00,425,8,56.69294871794872,14888,37,513,16,12,3,2,8,652,425,476.8802319324053,-175.1197680675947,175.1197680675947,30666.93316804816,51529,425,652
3,3,Treino,2023,7,12,14,0,202307121400,2023-07-12 14:00,436,11,58.95128205128206,14901,51,528,25,17,3,6,10,752,436,507.8336098778935,-244.1663901221065,244.1663901221065,59617.22606526069,99856,436,752
3,3,Treino,2023,7,12,15,0,202307121500,2023-07-12 15:00,449,13,65.44294871794872,14930,82,550,37,25,2,5,7,862.6144999999999,449,558.0369107755237,-304.5775892244762,304.5775892244762,92767.50785779378,171076.9546102499,449,862.6144999999999
3,3,Treino,2023,7,12,16,0,202307121600,2023-07-12 16:00,464,15,68.6846153846154,14965,117,583,55,33,2,4,10,982,464,628.8123568127984,-353.1876431872016,353.1876431872016,124741.51130013,268324,464,982
3,3,Treino,2023,7,12,17,0,202307121700,2023-07-12 17:00,484,20,72.0096153846154,14997,149,621,71,41,5,7,12,1057,484,728.8807893289445,-328.1192106710555,328.1192106710555,107662.2164113965,328329,484,1057
3,3,Treino,2023,7,12,18,0,202307121800,2023-07-12 18:00,519,35,83.1596153846154,14995,148,663,80,43,15,20,24,1106,519,842.9457509135744,-263.0542490864256,263.0542490864256,69197.53796242322,344569,519,1106
3,3,Treino,2023,7,12,20,0,202307122000,2023-07-12 20:00,600,50,93.64294871794874,14999,151,809,146,86,19,15,35,1179,600,1070.730788669277,-108.2692113307235,108.2692113307235,11722.22212217686,335241,600,1179
3,3,Treino,2023,7,12,21,0,202307122100,2023-07-12 21:00,652,52,93.6596153846154,15037,188,923,200,115,2,21,32,1206,652,1215.233924791286,9.233924791285517,9.233924791285517,85.26536705111728,306916,652,1206
3,3,Treino,2023,7,12,22,0,202307122200,2023-07-12 22:00,752,100,93.67628205128207,15091,240,1115,306,192,48,50,65,1226,752,1530.536966978305,304.5369669783049,304.5369669783049,92742.76425634518,224676,752,1226
3,3,Treino,2023,7,12,23,0,202307122300,2023-07-12 23:00,862.6144999999999,110.6144999999999,93.94294871794874,15139,285,1216,293,100,10.61449999999991,58.61449999999991,79.61449999999991,1240,862.6144999999999,1548.85680353313,308.8568035331296,308.8568035331296,95392.52508870218,142419.8156102501,862.6144999999999,1240
